"Geneid"	"queen.beta.estimate"	"queen.adjusted.pvalue"	"worker.beta.estimate"	"worker.adjusted.pvalue"
"35"	"MSTRG.1732"	-0.406540590055997	0.0006872644039674	0.337471560691093	0.125044342111356
"36"	"MSTRG.1786"	0.103546118692917	0.529740812037444	-0.620862518399945	0.000894555088737902
"37"	"MSTRG.1964"	0.270638701107309	0.00611739713399275	-1.63433331174157	8.74100360669264e-08
"38"	"MSTRG.1966"	0.01483266588447	0.926287036172514	-1.30976890263388	6.89151591488183e-07
"39"	"MSTRG.1989"	0.195757681634977	0.155148603017213	-0.774820006182129	0.00118769842308169
"40"	"MSTRG.2049"	0.0562678204459937	0.638650054042691	-1.72756761770206	2.30711635761841e-07
"41"	"MSTRG.2070"	-0.119959315078978	0.418830280750503	-1.64480929446643	1.81211360218586e-08
"42"	"MSTRG.2236"	0.0140359806814771	0.898968343757717	-0.884381199705089	3.25289240641066e-05
"43"	"MSTRG.2246"	0.656499902148832	7.75662788620554e-06	-0.688349654778557	0.0196897194797923
"44"	"MSTRG.2259"	0.748505860771093	0.00288520159079558	-1.98209157001851	1.58019235481687e-09
"45"	"MSTRG.2320"	0.826678573184469	0.00177834605788627	-1.26368035753513	0.00010133316814924
"46"	"MSTRG.2360"	0.397200598258271	0.104779554687361	-2.91113999870013	5.75495673109786e-17
"47"	"MSTRG.2366"	-0.831733343846091	0.0200127182967238	-3.92635888206186	3.19803882053801e-44
"48"	"MSTRG.2424"	0.0604981116005663	0.706168466712294	-4.16232492338002	7.65593948742926e-33
"49"	"MSTRG.2451"	-0.112864755815963	0.69326118095415	-1.5719803498992	1.47265157957836e-07
"50"	"MSTRG.2520"	0.447209633555632	0.0543497447064196	1.60232351355726	5.25300069594847e-07
"51"	"MSTRG.2530"	0.489818583274285	0.0939576482147479	-2.08415885631057	2.85404060333663e-13
"52"	"MSTRG.2534"	0.0515442939047981	0.829949007430873	-1.7747034743117	3.01714636288337e-11
"53"	"MSTRG.2541"	1.84694588479535	2.24892338011752e-09	0.645937053412643	0.0260761870457016
"54"	"MSTRG.2543"	0.199238030460656	0.284525948254791	-1.86740957679833	1.12059869371311e-06
"55"	"MSTRG.2552"	0.601768199928265	2.60876880125694e-07	-0.445428423353066	0.0412291812437422
"56"	"MSTRG.2586"	0.277430748586186	0.0170393920965975	-0.537424808490147	0.0153115843564637
"57"	"MSTRG.2644"	0.289177959043364	0.0335431002103692	-0.501316835796963	0.0112328433679889
"58"	"MSTRG.2824"	0.671485683778766	4.10945537235616e-07	-0.0869001113427828	0.624684645050321
"59"	"MSTRG.2832"	-0.0158553717897932	0.9106392822289	-0.744832526988516	0.00162338770865369
"60"	"MSTRG.2907"	0.126210674803104	0.350998329590308	-1.05974510417643	5.37441515835805e-05
"61"	"MSTRG.3003"	0.92772948396258	3.35759685313196e-12	0.0117326336081102	0.955630814721686
"62"	"MSTRG.3154"	-0.689237454591535	0.00773230848569042	0.320013700235509	0.343436662349727
"63"	"MSTRG.3163"	0.276603987278626	0.344542720602013	-2.10547338039778	7.65808408796307e-11
"64"	"MSTRG.3187"	-0.128806974388255	0.677351995640238	-1.98419579278949	4.07951082222205e-08
"65"	"MSTRG.3224"	0.161253991410931	0.273010224626085	-1.03156648525553	1.51806563782642e-05
"66"	"MSTRG.3279"	-0.259511195485085	0.233141820661336	-3.13813485883998	4.25344198503522e-26
"67"	"MSTRG.3319"	-0.490560753321688	3.30324688055731e-06	-1.31155454685073	1.39532600929473e-06
"68"	"MSTRG.3436"	-0.595819984737305	0.00026770211769405	0.563872565391161	0.00228859131523172
"69"	"MSTRG.3557"	0.741548590328907	1.7288212820296e-06	-1.61943972024705	1.14861856441614e-06
"70"	"MSTRG.3594"	-0.640503447074523	1.90642778886679e-09	-1.57965098596121	5.55627899902949e-10
"71"	"MSTRG.3669"	0.0465200156348927	0.900693225737806	-3.02016339451994	5.92453618316495e-14
"72"	"MSTRG.3670"	0.0156082339208737	0.924547966254858	-2.14634166355513	1.54745596927162e-08
"73"	"MSTRG.3681"	-0.0989881388666298	0.0364993606446442	-1.06954277347118	3.10820950565687e-07
"74"	"MSTRG.3734"	-0.914384153603574	5.07105672352704e-13	-3.05358122916539	1.07120135362707e-08
"75"	"MSTRG.3753"	0.674127144265269	1.7288212820296e-06	-0.46827278912954	0.0497340227983296
"76"	"MSTRG.3783"	1.20022666586822	5.26300072972595e-15	0.064286980449538	0.755178409796774
"77"	"MSTRG.3808"	-0.942556561465101	9.2619136352063e-06	0.0243126662133447	0.920246414097532
"78"	"MSTRG.3943"	1.00229251766243	9.44984258461299e-13	-0.039113671603217	0.87649635984451
"79"	"MSTRG.3946"	0.544630318450944	6.55510796244389e-05	-0.472381751650704	0.0254834607336597
"80"	"MSTRG.3956"	-0.15600424847658	0.270928906941479	-1.41114533937692	2.86624847191373e-12
"81"	"MSTRG.3983"	-0.226802188975196	0.0337037941123274	-1.03099210099313	2.20188248672517e-07
"82"	"MSTRG.3988"	0.0283159201172861	0.904686028095537	1.5695005743866	5.57749781224734e-07
"83"	"MSTRG.4076"	0.858467960775395	1.22297753912949e-13	0.1398863845069	0.47220492908644
"84"	"MSTRG.4095"	0.298903597195746	0.0304589252575319	-0.761042598029813	0.00135475114886945
"85"	"MSTRG.4096"	0.437404535590232	7.88768596486066e-05	-0.259408111879502	0.237032525976482
"86"	"MSTRG.4116"	0.787968482329602	8.96115852495898e-06	-0.597299221769818	0.0562982061327431
"87"	"MSTRG.4180"	-0.113702586975222	0.432490096813058	-1.39986923021096	1.47265157957836e-07
"88"	"MSTRG.4223"	-0.118464466687863	0.340969002312078	-1.26084933906896	0.000476983170068442
"89"	"MSTRG.4286"	-0.0569413764001383	0.751087785122749	1.52245953275519	1.36662485810164e-05
"90"	"MSTRG.4297"	-0.32775311483676	0.0348263792232197	-2.79733797434986	1.5388462256806e-26
"91"	"MSTRG.4303"	-0.323414550896342	0.018811680272322	-0.985405920039138	1.47967179672659e-07
"92"	"MSTRG.4557"	-0.734314371985296	0.010005978432458	0.0262214586096429	0.920878223203555
"93"	"MSTRG.4578"	0.217164768428788	0.113785738484636	-2.85247084576452	7.91388198341217e-17
"94"	"MSTRG.4651"	0.401641100430864	0.0112287196073309	-0.945965711419903	2.73463469032159e-05
"95"	"MSTRG.4663"	0.141074811808206	0.220970078610082	-0.889745574360536	0.00155803093811833
"96"	"MSTRG.4669"	-0.00510015942320827	0.970109684030412	1.06082385412162	0.000266881178844238
"97"	"MSTRG.4775"	-0.511063407621587	1.63891661405459e-05	0.354645859711952	0.069540573213746
"98"	"MSTRG.4776"	-1.17667193668161	6.09656901605142e-22	0.293347809987458	0.362795082596594
"99"	"MSTRG.4860"	-0.0793115798763916	0.678289687653203	-1.12085121583861	1.70842699449959e-06
"100"	"MSTRG.4885"	0.296716416624908	0.108799114028218	-2.34445955292552	4.03910889433944e-16
"101"	"MSTRG.4971"	1.11273144800832	4.26650660126614e-09	-3.13217608762555	6.20756501231871e-15
"102"	"MSTRG.5015"	1.0732207060022	2.10370679005218e-22	0.242741829350674	0.297115054404922
"103"	"MSTRG.5031"	0.455961272122697	7.7512118787377e-06	-0.505630806888887	0.0174980153162914
"104"	"MSTRG.5039"	0.837692427755539	0.000135381943262173	-1.02448171398366	2.13446513497093e-05
"105"	"MSTRG.5100"	0.709827402251164	1.62571735938978e-05	-0.540942812194891	0.0486785531681906
"106"	"MSTRG.5135"	0.149716082759392	0.402879814864318	-0.971769408241771	0.00100883125538937
"107"	"MSTRG.5248"	-0.0961218071616402	0.71481702878287	0.698480526535309	0.00411638863799676
"108"	"MSTRG.5254"	-0.52546790050286	0.000252052862607473	0.200006905195494	0.440233149311847
"109"	"MSTRG.5290"	0.314626707695232	0.203630845649518	-2.80545838856954	3.34911502744473e-22
"110"	"MSTRG.5291"	0.0465024247118078	0.843459923173636	-2.03330197117032	7.70238856632219e-11
"111"	"MSTRG.5581"	1.76826149796075	4.42179013089047e-22	0.518836950111745	0.00720676352006213
"112"	"MSTRG.5582"	0.239023825702235	0.0685303687077076	0.943159460111759	7.78907397338201e-06
"113"	"MSTRG.5661"	0.172193666991948	0.132680356913991	-0.557967109380124	0.0135564094290045
"114"	"MSTRG.5728"	0.5789089908701	0.165806635373173	-1.02574566102848	0.000268733457520867
"115"	"MSTRG.5785"	0.688122044357273	0.000230038947621359	-0.433727105399312	0.0408726855751317
"116"	"MSTRG.5786"	0.19211752376912	0.165806635373173	2.23547937058574	4.04404326747411e-15
"117"	"MSTRG.5791"	-0.0453279564409627	0.700228067427128	-0.668521894526289	0.000476991984251521
"118"	"MSTRG.5933"	-1.54826368906495	4.9498896317174e-06	-4.93590558143663	2.84354318735562e-57
"119"	"MSTRG.6004"	0.626110466025288	1.49435762331629e-06	-0.160266764068068	0.489149362511936
"120"	"MSTRG.6082"	0.841389423701038	0.0378075158865629	-0.929574312109073	0.00118991828928668
"121"	"MSTRG.6101"	-0.0308956742928816	0.904686028095537	-3.06265215319063	6.78049964621342e-32
"122"	"MSTRG.6104"	0.564432343500102	2.61514324612458e-07	-0.384308908140852	0.111556823126398
"123"	"MSTRG.6292"	-0.223608631548933	0.182866229381522	-1.12926442072471	3.28207383391245e-05
"124"	"MSTRG.6471"	-1.14310096094153	2.96993223507608e-11	0.115788977047593	0.608487376440876
